orden_id;producto_id;vendedor_id;fecha_envio_limite;precio;valor_flete;codigo_postal_vendedor;ciudad_vendedor;departamento_vendedor;nombre_categoria_producto;longitud_nombre_producto;longitud_descripcion_producto;cantidad_fotos_producto;peso_g_producto;longitud_cm_producto;altura_cm_producto;ancho_cm_producto;volumen_cm3_producto
1564PA53A-A;PA53;VE6785;1-ago-17;-7.27;27.12;52565;Providencia;Nariño;Electrodomésticos;19;28;29;1324;48;17;11;8976
28983PD80A-A;PD80;VE3342;31-may-18;3.22;6.01;52203;Colon;Nariño;Celulares;18;29;16;4677;26;6;16;2496
38613PB61A-A;PB61;VE7671;27-oct-17;104.18;17.7;52051;Arboleda;Nariño;Ropa_de_adultos;13;30;29;101;17;26;24;10608
4978PS63A-A;PS63;VE1492;13/12/2017;348.39;34.84;52323;Gualmatan;Nariño;Carnicería;33;26;13;514;47;16;43;32336
73781PA71A-A;PA71;VE8575;1/11/2018 0:00;29.03;30.23;5002;Abejorral;Antioquia;Electrodomésticos;27;3;13;2962;20;26;28;14560
58767PS40A-A;PS40;VE1175;6/11/1901 21:06;220.91;8.18;52323;Gualmatan;Nariño++;Carnicería;36;2;2;3510;22;5;20;2200
28468PB76A-A;PB76;VE8634;20/09/2017 4:24;101.55;111.74;52427;Magui;Nariño;Ropa de adultos;9;16;2;330;6;5;16;0
8111PB14A-A;PB14;VE5681;25/10/2017 16:35;73.75;17.51;52210;Contadero;Nariño;Ropa de adultos;15;15;38;592;51;32;20;0
81437PS10A-A;PS10;VE3482;14/02/2018 0:09;-14.97;;52051;Arboleda;Nariño;;6;5;0;2032;50;12;21;12600
73702PS92A-A;PS92;VE9623;14/01/2018 21:46;13.48;20.66;52411;Linares;Nariño;Carnicería;25;18;0;3862;34;27;8;7344
95173PA73B-B;PA73;VE2992;3/10/2017 11:00;136.38;20.43;52565;Providencia;Nariño;Electrodomésticos;8;19;15;2442;29;8;12;2784
27530PD62A-A;PD62;VE6422;13/10/2017 14:21;423.38;26.16;52540;Policarpa;Nariño;Celulares;39;36;38;3836;1;18;15;270
24331PK73A-A;PK73;VE2738;24/03/2018 9:44;113.13;33.11;5002;Abejorral;Antioquia++;Deportes;16;36;34;47;47;1;15;705
86322PD49A-A;PD49;VE8722;10/02/2018 4:07;183.45;33.07;52480;Nariño;Nariño;Celulares;0;37;29;3736;36;4;30;4320
23569PS72A-A;PS72;VE7960;15/03/2018 10:42;37.48;50.59;52207;Consaca;Nariño;Carnicería;24;22;35;628;17;16;45;0
53102PA27A-A;PA27;VE5346;2/11/2017 7:10;-229.74;17.32;52356;Ipiales;Nariño;Electrodomésticos;16;26;26;710;30;23;19;0
104054PA17A-A;PA17;VE4580;18/08/2017 14:28;100.38;11.57;52385;La llanada;Nariño++;Electrodomésticos;28;15;24;7893;21;17;29;10353
23726PB70A-A;PB70;VE1175;22/09/2017 5:08;47.64;18.66;52480;Nariño;Nariño++;Ropa de adultos;38;12;26;1052;41;16;25;16400
67592PS52A-A;PS52;VE9912;11/08/2017 19:45;677.65;89.79;52378;La cruz;Nariño;Carnicería;10;30;20;3772;48;24;29;33408
4455PD29A-A;PD29;VE3159;19/09/2017 11:04;36.23;97.77;5001;Medellin;Antioquia;Celulares;6;23;24;344;36;36;23;29808
100347PA80A-A;PA80;VE4813;7/08/2017 6:16;19.56;36.94;52378;La cruz;Nariño;Electrodomésticos;32;29;19;2186;27;7;17;3213
70442PR15A-A;PR15;VE5049;12/03/2018 8:19;-52.32;21.85;52210;Contadero;Nariño;Frutas y verduras;27;0;10;4095;32;27;9;7776
56764PS46A-A;PS46;VE6785;5/12/2017 21:47;162.4;17.82;52323;Gualmatan;Nariño;Carnicería;2;27;2;213;35;25;18;15750
38975PS80A-A;PS80;VE4179;2/11/2017 19:29;25.73;27.13;52480;Nariño;Nariño;Carnicería;26;3;12;2122;15;18;29;7830
83950PR11A-A;PR11;VE6032;28/08/2017 4:42;81.53;0.26;52411;Linares;Nariño;Frutas y verduras;14;4;12;1617;37;18;24;15984
