producto_id;fecha_envio_limite;nombre_categoria_producto;longitud_nombre_producto;longitud_descripcion_producto;cantidad_fotos_producto;peso_g_producto;longitud_cm_producto;altura_cm_producto;ancho_cm_producto
PT66;19/09/2017 7:24;Tarjetas regalo;6;34;18;6291;50;9;12
PB76;22/01/2018 11:30;Ropa de adultos;10;39;0;616;26;24;23
PJ55;9/12/2017 15:09;Mascotas;25;12;3;2431;51;2;28
PO85;4/05/2018 4:15;Productos ecoamigables;33;25;25;2061;19;26;28
PG31;17/09/2017 23:24;Salud;34;22;11;2639;39;19;40
PC48;22/11/2017 1:10;Ropa infantil;36;28;16;1325;39;24;1
PK81;23/02/2018 4:05;Deportes;32;17;30;2002;7;17;22
PO23;14/03/2018 19:45;Productos ecoamigables;37;3;4;71;21;8;23
PN99;5/03/2018 9:58;Dormitorio;17;39;36;4011;29;18;36
PD94;22/04/2018 2:19;Celulares;22;35;21;3482;39;14;4
PM78;21/12/2017 21:50;Ferretería;21;3;17;2358;21;5;24
PL32;19/02/2018 3:20;Libros;40;30;30;2228;10;19;12
PE79;20/01/2018 15:38;Tecnología;36;34;14;129;15;41;14
PH88;5/11/2017 21:43;Bebés ;10;36;17;2125;3;15;10
PP30;31/01/2018 16:57;Licor;2;26;33;726;68;22;13
PB42;1/05/2018 7:08;Ropa de adultos;21;6;6;176;21;8;11
PA46;31/07/2017 13:03;Electrodomésticos;36;20;20;1344;13;14;55
PE20;5/10/2017 9:37;Tecnología;5;3;36;1757;26;24;23
PK63;21/09/2017 18:28;Deportes;13;9;37;18;38;34;2
PI33;16/06/2018 16:43;Juguetes;14;15;39;638;53;29;35
PQ11;11/09/2017 1:42;Lácteos;21;30;38;2103;36;42;29
PP91;14/04/2018 5:44;Licor;7;32;33;218;54;6;5
PD49;16/06/2018 1:28;Celulares;17;15;23;2119;13;11;10
PK68;9/11/2017 10:06;Deportes;38;8;20;2480;25;24;35
PL45;13/03/2018 11:49;Libros;6;19;9;826;34;11;40
PJ81;7/02/2018 7:18;Mascotas;25;34;37;2936;41;21;24
