orden_id;order_item_id;producto_id;vendedor_id;precio;valor_flete;codigo_postal_vendedor;ciudad_vendedor;departamento_vendedor
88176PT66A;A;PT66;VE3877;226.31;2.86;11001;Bogota d.c.;Bogota d.c.
61602PB76A;A;PB76;VE8568;338.38;3.28;27001;Quibdo;Choco
106573PJ55A;A;PJ55;VE4333;155.29;11.48;70001;Sincelejo;Sucre
15563PO85A;A;PO85;VE7960;137.82;25.39;85001;Yopal;Casanare
11468PG31A;A;PG31;VE1019;141.9;22.94;52480;Nariño;Nariño
25451PC48A;A;PC48;VE8895;67.47;41.47;52381;La florida;Nariño
40065PK81A;A;PK81;VE5929;544.28;2.92;50006;Acacias;Meta
70510PO23A;A;PO23;VE9864;39.6;21.11;52480;Nariño;Nariño
41641PN99C;C;PN99;VE7338;30.15;51.01;13006;Achi;Bolivar
48276PD94B;B;PD94;VE6668;32.2;18.71;17001;Manizales;Caldas
82404PM78A;A;PM78;VE7406;80.12;24.18;52051;Arboleda;Nariño
102556PL32A;A;PL32;VE2068;219.09;41.86;85001;Yopal;Casanare
57960PE79A;A;PE79;VE5049;23.98;31.72;20001;Valledupar;Cesar
18044PH88A;A;PH88;VE8613;165.41;37.86;95001;San jose del guaviare;Guaviare
89037PP30B;B;PP30;VE7016;147.09;4.43;5001;Medellin;Antioquia
29065PB42A;A;PB42;VE6608;215.35;14.06;97001;Mitu;Vaupes
16047PA46A;A;PA46;VE5588;256.66;4.32;52001;Pasto;Nariño
42953PE20A;A;PE20;VE8455;5.17;9.77;68001;Bucaramanga;Santander
34429PK63A;A;PK63;VE6535;239.56;14.2;23001;Monteria;Cordoba
87560PI33A;A;PI33;VE8568;165.26;0.2;50683;San juan de arama;Meta
53710PQ11A;A;PQ11;VE8575;77.14;84.45;5001;Medellin;Antioquia
10992PP91B;B;PP91;VE4124;49.6;1.94;50683;San juan de arama;Meta
6553PD49A;A;PD49;VE3955;137.55;21.49;52323;Gualmatan;Nariño
44544PK68A;A;PK68;VE4333;45.64;25.24;19001;Popayan;Cauca
77334PL45A;A;PL45;VE2068;106.37;39.73;52411;Linares;Nariño
6955PJ81A;A;PJ81;VE2285;214.68;37.68;52418;Los andes;Nariño
99674PG39C;C;PG39;VE8511;13.5;27.26;5002;Abejorral;Antioquia
81627PM93A;A;PM93;VE5681;377.42;11.1;68001;Bucaramanga;Santander
50790PG72B;B;PG72;VE4580;57.41;4.08;20001;Valledupar;Cesar
13178PE45A;A;PE45;VE3582;16.42;0.12;52001;Pasto;Nariño
99849PR85B;B;PR85;VE9769;65.11;25.87;76001;Cali;Valle del cauca
19046PB66A;A;PB66;VE7866;80.34;19.99;52079;Barbacoas;Nariño
100331PJ41A;A;PJ41;VE8455;78.67;46.14;91001;Leticia;Amazonas
87556PJ80A;A;PJ80;VE4242;34.43;22.6;52480;Nariño;Nariño
70563PD53A;A;PD53;VE1204;184.52;23.32;52381;La florida;Nariño
92239PG10C;C;PG10;VE4179;57.54;9.45;50006;Acacias;Meta
7509PH66B;B;PH66;VE3276;104.33;57.37;52405;Leiva;Nariño
109589PI14A;A;PI14;VE7888;173.12;9.94;52473;Mosquera;Nariño
107449PT95A;A;PT95;VE3420;71.09;11.2;52323;Gualmatan;Nariño
29781PB39A;A;PB39;VE1175;65.32;2.36;85001;Yopal;Casanare
52298PG48A;A;PG48;VE9946;179.74;34.48;52405;Leiva;Nariño
52474PK15A;A;PK15;VE7016;150.19;9.66;50001;Villavicencio;Meta
111562PO86D;D;PO86;VE3062;119.44;6.67;52356;Ipiales;Nariño
48675PI36B;B;PI36;VE7125;40.17;35.65;5001;Medellin;Antioquia
81105PI18A;A;PI18;VE5422;454.01;7.4;5001;Medellin;Antioquia
107950PD91C;C;PD91;VE5445;181.7;38.35;52473;Mosquera;Nariño
93056PI93A;A;PI93;VE3689;58.75;21.87;52323;Gualmatan;Nariño
109909PR15A;A;PR15;VE8486;161.99;27.65;44001;Riohacha;La guajira
25845PR79A;A;PR79;VE1309;57.9;14.04;52480;Nariño;Nariño
78314PB82A;A;PB82;VE7960;85.16;5.0;52480;Nariño;Nariño
35831PG44A;A;PG44;VE6535;593.08;47.75;50683;San juan de arama;Meta
57590PQ93A;A;PQ93;VE2456;19.19;31.65;66001;Pereira;Risaralda
50206PF17A;A;PF17;VE7125;63.51;17.94;52435;Mallama;Nariño
69822PD25A;A;PD25;VE4124;12.77;1.45;27001;Quibdo;Choco
34018PJ68A;A;PJ68;VE2456;5.51;9.43;25001;Agua de dios;Cundinamarca
49181PH36A;A;PH36;VE6106;267.02;3.45;66001;Pereira;Risaralda
94412PD78A;A;PD78;VE7016;188.87;9.5;73001;Ibague;Tolima
10197PA78A;A;PA78;VE3215;161.86;9.12;52323;Gualmatan;Nariño
47462PN13A;A;PN13;VE2770;41.52;19.24;52399;La union;Nariño
97038PI57A;A;PI57;VE9864;486.64;5.51;11001;Bogota d.c.;Bogota d.c.
2591PA93A;A;PA93;VE6542;64.04;13.63;52473;Mosquera;Nariño
73831PL28A;A;PL28;VE3420;223.09;6.23;52473;Mosquera;Nariño
38286PQ88A;A;PQ88;VE8975;295.23;14.15;19001;Popayan;Cauca
13472PT98A;A;PT98;VE6608;123.59;38.1;91001;Leticia;Amazonas
6185PI43A;A;PI43;VE3199;222.14;19.48;70001;Sincelejo;Sucre
82378PS32A;A;PS32;VE8338;237.42;17.2;5001;Medellin;Antioquia
57833PJ62A;A;PJ62;VE2012;127.57;92.41;52411;Linares;Nariño
70736PR58A;A;PR58;VE8695;89.46;67.08;50001;Villavicencio;Meta
12919PE89A;A;PE89;VE1175;25.5;1.96;94001;Inirida;Guainia
50390PS87A;A;PS87;VE7866;56.74;56.16;52203;Colon;Nariño
84690PL85A;A;PL85;VE3295;119.73;23.62;15001;Tunja;Boyaca
39646PI33A;A;PI33;VE7671;118.0;23.8;52083;Belen;Nariño
64333PA35B;B;PA35;VE1307;39.14;23.88;17001;Manizales;Caldas
26414PI69A;A;PI69;VE6535;277.56;15.38;50001;Villavicencio;Meta
36700PK10A;A;PK10;VE7338;10.66;12.79;81001;Arauca;Arauca
109793PQ82A;A;PQ82;VE3877;24.94;11.33;5001;Medellin;Antioquia
35573PE33A;A;PE33;VE2926;270.91;12.81;94001;Inirida;Guainia
58600PK85A;A;PK85;VE2056;25.45;32.38;70001;Sincelejo;Sucre
89532PA15A;A;PA15;VE7960;65.2;36.4;85001;Yopal;Casanare
4564PO43A;A;PO43;VE6777;86.27;21.21;52411;Linares;Nariño
20916PA13A;A;PA13;VE3276;82.19;9.5;54001;Cucuta;Norte de santander
25144PF92A;A;PF92;VE5738;0.91;2.74;52323;Gualmatan;Nariño
87256PK98B;B;PK98;VE9609;3.6;4.42;52207;Consaca;Nariño
31371PL35A;A;PL35;VE7281;16.62;4.31;52210;Contadero;Nariño
41484PM95A;A;PM95;VE4333;120.94;8.85;52473;Mosquera;Nariño
